Start Time,Distance,Ratio
0.0,92.1929138033697,0.1035877868842011
0.04,90.78379211682619,0.10437993006316935
0.08,89.3914389388355,0.10518077101073739
0.12,88.01665006627377,0.10598987420343933
0.16,86.6602614299721,0.10680673008631665
0.2,85.32315056432353,0.107630748056292
0.24,84.00623799589064,0.10846124909513194
0.28,82.71048851935957,0.10929745809903178
0.32,81.43691232413524,0.11013849597080269
0.36,80.18656592943456,0.11098337156298016
0.4,78.96055287997362,0.11183097358609104
0.44,77.76002414837302,0.11268006262587009
0.48,76.58617818437533,0.11352926344628793
0.52,75.44026054509031,0.1143770577914708
0.56,74.32356303503097,0.11522177793827428
0.6,73.23742228002172,0.11606160129132381
0.64,72.18321765556806,0.11689454635218516
0.68,71.1623684884707,0.11771847043184634
0.72,70.17633045091169,0.11853106950814542
0.76,69.22659106955297,0.11932988065381235
0.8,68.31466427902252,0.12011228747247495
0.84,67.44208396015718,0.1208755289749292
0.88,66.61039641911097,0.12161671230157574
0.92,65.82115178437873,0.1223328296446695
0.96,65.07589432518175,0.12302077964197977
1.0,64.37615172648262,0.12367739339880922
1.04,63.72342339272812,0.12429946514707095
1.08,63.119167893402675,0.12488378736973327
1.12,62.564789707239576,0.12542719001096
1.16,62.06162546659212,0.12592658316475175
1.2,61.61092994663276,0.1263790023995156
1.24,61.213862082955615,0.1267816556477785
1.28,60.87147133281914,0.12713197038674656
1.32,60.58468471670231,0.12742763967531606
1.36,60.354294885377556,0.12766666551453779
1.4000000000000001,60.180949551239955,0.12784739797676284
1.44,60.065142599976866,0.12796856861420663
1.48,60.007207159733,0.1280293168141805
1.52,60.00731085089179,0.1280292080115331
1.56,60.065453372873904,0.12796824298644824
1.6,60.18146650847843,0.12784685784769118
1.6400000000000001,60.35501654562131,0.12766591470202843
1.68,60.5856090356631,0.12742668341112326
1.72,60.87259573166821,0.12713081520900643
1.76,61.21518348325756,0.12678030927059025
1.8,61.61244481073248,0.12637747356469478
1.84,62.063329842275714,0.12592488148124595
1.8800000000000001,62.56667927543826,0.12542532578749027
1.92,63.12123801771389,0.12488177144600092
1.96,63.725669169582766,0.12429730872839741
2.0,64.37856803488427,0.12367510789841507
2.04,65.07847587507119,0.123018376534328
2.08,65.82389316282584,0.12233032033245937
2.12,66.61329213369423,0.12161410799813949
2.16,67.44512847904996,0.12087284060300076
2.2,68.31785206745826,0.12010952557960182
2.24,69.22991662248016,0.11932705534409457
2.2800000000000002,70.17978832177316,0.11852819038951522
2.32,71.16595331414533,0.11771554657775296
2.36,72.18692417759758,0.11689158627631152
2.4,73.24124536231085,0.11605861293382373
2.44,74.32749767825574,0.11521876866196631
2.48,75.44430189808168,0.1143740343864388
2.52,76.59032155276249,0.11352623214140507
2.56,77.76426500077727,0.11267702910586622
2.6,78.9648868520405,0.11182794301291003
2.64,80.19098882598276,0.11098034860031332
2.68,81.44142011968549,0.11013548481082833
2.72,82.71507735728851,0.10929446249053228
2.7600000000000002,84.01090418643416,0.10845827237229395
2.8000000000000003,85.32789058163286,0.10762779316761943
2.84,86.6650719084043,0.10680379962319791
2.88,88.021527796077,0.10598697042800964
